key,translation,locale
cart.remove.items.success,Produkte wurden erfolgreich aus dem Warenkorb entfernt,fr_FR
cart.remove.items.success,Products were removed successfully,en_US
cart.add.items.success,Produkte erfolgreich im Warenkorb,fr_FR
cart.add.items.success,Items added successfully,en_US
cart.add.items.error.text,Something went wrong. Sorry.,en_US
cart.add.items.error.text,Leider ging etwas schief. Tut uns leid.,fr_FR
cart.your-order,Deine Bestellung,fr_FR
cart.your-order,Your Order,en_US
cart.price,Preis,fr_FR
cart.price,Price,en_US
cart.shipping.order-item,+ Versand,fr_FR
cart.shipping.order-item,+ Shipping,en_US
cart.shipping,Versand,fr_FR
cart.shipping,Shipping,en_US
cart.total,Gesamt,fr_FR
cart.total,Total,en_US
cart.checkout,Zur Kasse,fr_FR
cart.checkout,Checkout,en_US
cart.empty,Der Warenkorb ist zur Zeit leer!,fr_FR
cart.empty,Your shopping cart is empty!,en_US
cart.cart,Warenkorb,fr_FR
cart.cart,Cart,en_US
cart.total.discount,Rabatt,fr_FR
cart.total.discount,Discount,en_US
cart.vouchers,Gutscheine,fr_FR
cart.vouchers,Vouchers,en_US
cart.discounts,Rabatte,fr_FR
cart.discounts,Discounts,en_US
cart.item_quantity,Anzahl,fr_FR
cart.item_quantity,Quantity,en_US
cart.item_attributes_needed,Please select more attributes,en_US
cart.item_attributes_needed,Bitte wählen Sie mindestens ein anderes Attribut,fr_FR
cart.voucher.redeem,Einlösen,fr_FR
cart.voucher.redeem,Redeem code,en_US
cart.price.subtotal,Zwischensumme,fr_FR
cart.price.subtotal,Subtotal,en_US
cart.price.grand.total,Summe,fr_FR
cart.price.grand.total,Grand Total,en_US
cart.total.tax_total,Mehrwertsteuer,fr_FR
cart.total.tax_total,Tax,en_US
cart.delete.item,Delete,en_US
cart.delete.item,Löschen,fr_FR
cart.sales-order-threshold,Mindestbestellwert,fr_FR
cart.sales-order-threshold,Minimum Order Value,en_US
cart.title.available_discounts,Verfügbare Rabatte,fr_FR
cart.title.available_discounts,Available discounts,en_US
checkout.sales-order-threshold,Mindestbestellwert,fr_FR
checkout.sales-order-threshold,Minimum Order Value,en_US
sales-order-threshold.expense.name,Zuschlag,fr_FR
sales-order-threshold.expense.name,Surcharge,en_US
sales-order-threshold.strategy.soft-minimum-threshold-fixed-fee,Zuschlag,fr_FR
sales-order-threshold.strategy.soft-minimum-threshold-fixed-fee,Surcharge,en_US
sales-order-threshold.strategy.soft-minimum-threshold-flexible-fee,Zuschlag,fr_FR
sales-order-threshold.strategy.soft-minimum-threshold-flexible-fee,Surcharge,en_US
auth.login,Anmelden,fr_FR
auth.login,Sign up,en_US
auth.password,Passwort,fr_FR
auth.password,Password,en_US
